25.401,24.574
25.405,24.561
25.409,24.62
25.4,23.868
25.412,23.871
25.389,23.868
25.39,23.881
25.421,23.915
25.41,23.92
25.394,23.912
27.623,23.886
31.048,23.937
32.2,23.928
32.723,23.903
32.948,23.88
32.798,23.927
28.233,24.161
28.13,24.174
28.101,24.195
28.007,24.195
29.836,24.18
31.209,24.291
31.938,24.322
32.306,24.346
32.42,24.352
32.206,24.31
31.944,24.293
26.892,23.817
26.861,23.826
26.868,23.802
26.855,23.853
26.805,23.882
26.788,23.851
26.771,23.885
26.793,23.899
26.765,23.894
26.296,24.001
26.246,23.998
26.229,23.953
26.204,23.965
27.262,23.98
31.132,23.964
32.169,23.95
31.84,24.062
31.243,31.384
30.863,33.582
30.594,33.698
30.26,32.447
30.023,31.685
27.212,25.304
27.167,25.287
27.142,25.244
27.12,25.201
27.038,25.145
27.001,25.072
26.973,25.025
26.934,24.969
26.916,24.886
26.926,24.779
26.857,24.806
26.838,24.729
26.838,24.639
26.795,24.589
26.761,24.606
26.713,24.601
26.739,24.561
26.703,24.568
25.997,24.205
26.009,24.212
26.022,24.208
26.002,24.166
26.022,24.177
26.009,24.188
26.04,24.232
25.991,24.221
25.994,24.247
25.989,24.269
26.001,24.277
25.976,24.321
25.98,24.331
25.959,24.286
25.948,24.284
25.934,24.293
25.955,24.324
25.948,24.304
25.95,24.307
25.936,24.321
25.812,24.275
26.075,24.341
26.036,24.491
25.884,24.443
26.06,24.493
26.034,24.493
26.145,24.541
26.608,24.449
24.838,24.492
24.851,24.45
24.843,24.445
24.861,24.456
24.855,24.476
29.404,24.421
31.611,24.429
32.339,24.496
32.605,24.484
31.94,27.859
31.493,30.788
31.135,31.669
30.858,32.173
30.633,32.556
30.354,32.711
30.154,32.841
29.827,31.974
29.557,31.42
26.489,26.361
26.395,26.316
26.362,26.196
26.3,26.096
26.218,25.996
26.165,25.914
26.057,25.866
25.977,25.782
25.927,25.723
25.895,25.654
25.835,25.642
25.839,25.526
25.814,25.55
25.757,25.473
25.733,25.427
25.649,25.388
25.62,25.349
25.57,25.287
25.579,25.259
25.533,25.249
25.531,25.19
25.439,25.146
25.441,25.099
25.143,24.896
25.139,24.863
25.136,24.825
25.116,24.828
25.104,24.841
24.744,24.587
24.74,26.302
24.748,30.384
24.74,31.379
24.747,31.646
24.717,31.828
24.716,31.937
24.755,32.096
24.74,32.194
24.712,32.301
24.282,24.347
24.242,24.261
24.198,24.238
24.19,24.208
24.263,24.259
24.34,24.308
24.367,24.29
23.891,23.972
23.835,23.926
23.84,23.962
23.905,24.035
23.885,24.173
23.912,27.283
23.943,31.838
23.986,32.83
24.046,33.368
24.077,33.013
24.091,32.123
24.126,31.542
27.491,31.0
31.305,30.518
32.265,30.15
32.794,29.77
33.106,29.441
33.291,29.163
33.41,28.809
33.487,28.548
33.548,28.379
32.709,28.178
32.153,27.904
31.639,27.679
31.195,27.446
30.86,27.311
25.273,23.335
25.282,23.395
25.225,23.293
25.298,23.219
25.137,23.334
25.205,23.283
25.22,23.238
25.132,23.269
25.126,23.257
26.41,23.272
27.579,23.478
28.56,23.393
29.451,23.342
30.325,23.377
31.198,23.294
31.953,23.332
32.636,23.314
33.292,23.2
33.823,23.271
34.27,23.342
34.614,23.3
35.032,23.257
35.321,23.273
35.591,23.262
35.768,23.434
36.005,23.478
36.138,23.483
36.472,23.309
36.598,23.34
36.699,23.458
36.782,23.464
36.884,23.483
37.079,23.29
37.081,23.442
37.156,23.353
37.26,23.457
37.326,23.421
37.593,23.467
38.015,23.315
38.386,23.439
38.504,23.482
38.709,23.347
38.896,23.358
39.151,23.245
39.141,23.301
39.26,23.275
39.301,23.495
39.365,23.349
39.372,23.479
39.386,23.384
39.492,23.31
