Time,Gold Probe Temperature,Stainless Steel Probe Temperature,Radical DensityConvectron Pressure,Baratron Pressure,Ion Gauge Pressure,Plasma Power,Flow Rate
1,25.384,25.347,4.201276938230943e+17,0.0017506689856773,0.0019447483744334,nan,nan,nan
2,25.265,25.431,-1.884869681767929e+18,0.001839405687025,0.0020041162500019,nan,nan,nan
3,25.329,25.294,3.974217555388165e+17,0.0020648456345934,0.0021896408611537,nan,nan,nan
4,25.341,25.454,-1.283068810508696e+18,0.0021561396741732,0.0022415877522762,nan,nan,nan
5,25.327,25.241,9.765310437905774e+17,0.0022629590647466,0.0023603235034133,nan,nan,nan
6,25.395,25.332,7.15354427287419e+17,0.0023548649885995,0.0025903740212415,nan,nan,nan
7,25.485,25.458,3.065737504563825e+17,0.0024769268420554,0.0026497418968101,nan,nan,nan
8,25.401,25.31,1.0332936856416778e+18,0.002571438772806,0.0027758986323933,nan,nan,nan
9,25.333,25.241,1.0446611166131364e+18,0.0026463650825898,0.0027833196168394,nan,nan,nan
10,25.234,25.239,-5.677508047278034e+16,0.0028997457398986,0.0029836861968833,nan,nan,nan
11,25.269,25.384,-1.3057938855463247e+18,0.00286152018754,0.0028872133990844,nan,nan,nan
12,25.423,25.354,7.834804205832602e+17,0.0030672871257808,0.0031766317924812,nan,nan,nan
13,25.284,25.305,-2.384525965825488e+17,0.0031843253941308,0.0032359996680497,nan,nan,nan
14,25.271,25.213,6.585939179396914e+17,0.0032800898707708,0.0033844193569711,nan,nan,nan
15,25.29,25.397,-1.2149533028806884e+18,0.0033854971999771,0.0035105760925544,nan,nan,nan
16,25.399,25.212,2.1233980021298232e+18,0.003501922531753,0.0035551019992308,nan,nan,nan
17,25.381,25.268,1.2831103355018842e+18,0.0035590393175242,0.0036441538125836,nan,nan,nan
18,25.337,25.145,2.180198824072381e+18,0.003698201134268,0.0038222574392893,nan,nan,nan
19,25.483,25.245,2.7024910049511183e+18,0.0037258669291037,0.0038519413770736,nan,nan,nan
20,25.489,25.336,1.737288113876793e+18,0.0039175686291402,0.0040448869726715,nan,nan,nan
21,25.385,25.176,2.3732244284644787e+18,0.0040170871155139,0.0041339387860243,nan,nan,nan
22,25.366,25.297,7.834881944685238e+17,0.0040892910411864,0.0042452535527154,nan,nan,nan
23,25.247,25.313,-7.494214025495286e+17,0.0042008011506418,0.0043639893038525,nan,nan,nan
24,25.284,25.387,-1.1695365219749207e+18,0.0044001098429616,0.0045346719461122,nan,nan,nan
25,25.364,25.282,9.311043445724808e+17,0.0044914284837653,0.0045495139150043,nan,nan,nan
26,25.3,25.318,-2.043874773260578e+17,0.0046670476022443,0.0046979336039257,nan,nan,nan
27,25.262,25.442,-2.043830686582997e+18,0.0046441974021533,0.0047869854172786,nan,nan,nan
28,25.332,25.219,1.283121291239239e+18,0.0048214057297518,0.0049279841217539,nan,nan,nan
29,25.395,25.334,6.926445218094664e+17,0.0049358027613625,0.0049725100284304,nan,nan,nan
30,25.385,25.504,-1.3511846202627108e+18,0.0049736309353399,0.0051506136551361,nan,nan,nan
31,25.489,25.334,1.7599983750896425e+18,0.0051018312032295,0.0052545074373811,nan,nan,nan
32,25.363,25.25,1.2831143592651564e+18,0.0052581289001858,0.0052322444840428,nan,nan,nan
33,25.379,25.25,1.46479426854166e+18,0.0053332146884761,0.0054029271263025,nan,nan,nan
34,25.293,25.291,2.270982646665768e+16,0.0054172450055694,0.005566188784116,nan,nan,nan
35,25.258,25.342,-9.538042429663884e+17,0.005576105655002,0.0056329776441307,nan,nan,nan
36,25.325,25.424,-1.1241103950718396e+18,0.0056454604055571,0.00576655536416,nan,nan,nan
37,25.428,25.11,3.610976357159101e+18,0.005768913356809,0.0059075540686353,nan,nan,nan
38,25.336,25.24,1.0900813551183668e+18,0.005957548302066,0.0059966058819882,nan,nan,nan
39,25.402,25.372,3.4064259427946714e+17,0.0060239771715105,0.0061301836020174,nan,nan,nan
40,25.279,25.344,-7.3806255015926e+17,0.0061389453646788,0.0061821304931399,nan,nan,nan
41,25.262,25.084,2.021247512512201e+18,0.0063316178908877,0.0062414983687085,nan,nan,nan
42,25.35,25.258,1.044658022254216e+18,0.0063964013990451,0.0064492859331985,nan,nan,nan
43,25.268,25.313,-5.109691381019384e+17,0.0067071926919286,0.0070429646888842,nan,nan,nan
44,25.371,25.229,1.6124150954374769e+18,0.0073614177608896,0.0075772755690013,nan,nan,nan
45,25.336,25.279,6.472314069766644e+17,0.0082967567205046,0.0083416369669466,nan,nan,nan
46,25.437,25.312,1.4193589640631124e+18,0.0093901173488401,0.009002104582647,nan,nan,nan
47,25.427,25.258,1.9189913669669412e+18,0.0104741298146214,0.009632888260563,nan,nan,nan
48,25.223,25.142,9.197718603272196e+17,0.0117685444051737,0.0103527237518319,nan,nan,nan
49,25.313,25.273,4.54197953257806e+17,0.0125758768271684,0.0110874012119929,nan,nan,nan
50,25.375,25.342,3.747088097368114e+17,0.0137174937327802,0.0116959219365708,nan,nan,nan
51,25.349,25.22,1.4648019267115438e+18,0.0149736284462123,0.012348968567825,nan,nan,nan
52,25.322,25.31,1.362585079967083e+17,0.0159979240431855,0.0130094361835253,nan,nan,nan
53,25.361,25.255,1.2036283503968236e+18,0.0170705526750032,0.0137663765970246,nan,nan,nan
54,25.312,25.205,1.214993922383542e+18,0.0180306142282274,0.0143377923993721,nan,nan,nan
55,25.411,25.398,1.476111232761338e+17,0.0193166272464717,0.015057627890641,nan,nan,nan
56,25.406,25.367,4.428357577805352e+17,0.0201267309292348,0.0157626214130177,nan,nan,nan
