Time,Gold Probe Temperature,Stainless Steel Probe Temperature
66,49.516,33.06,3.2887954481852e+21
67,49.399,32.996,3.288226822858303e+21
68,49.394,33.056,3.2874575048223406e+21
69,49.337,33.011,3.287344601221865e+21
70,49.507,33.025,3.289108891001004e+21
71,49.423,33.05,3.2878580843551906e+21
72,49.423,33.036,3.2880243412696223e+21
73,49.5,33.022,3.2890650253380446e+21
74,49.429,32.953,3.289078186230155e+21
75,49.526,33.01,3.289502797237683e+21
76,49.595,33.048,3.2898350885684757e+21
77,49.548,33.019,3.2896457493797924e+21
78,49.497,33.016,3.289102212059199e+21
79,49.424,33.108,3.287180683080411e+21
80,49.528,33.069,3.288824842255933e+21
81,49.47,32.999,3.288997486163548e+21
82,49.522,33.093,3.2884716989512957e+21
83,49.431,33.048,3.2879726842131477e+21
84,49.599,33.049,3.289868637311636e+21
85,49.566,33.129,3.2885438628867594e+21
86,49.408,33.105,3.287034611268835e+21
87,49.524,33.11,3.288292534734112e+21
88,49.52,33.11,3.2882471106823e+21
89,49.429,33.161,3.2866081109954197e+21
90,49.471,33.03,3.2886406903543937e+21
91,49.529,33.058,3.288966828559588e+21
92,49.421,33.025,3.288132260778425e+21
93,49.457,33.105,3.287591056342654e+21
94,49.526,33.101,3.288422122114589e+21
95,49.461,33.107,3.287612730594752e+21
96,49.394,33.028,3.2877900174811684e+21
97,49.482,33.108,3.2878393320395936e+21
98,49.471,33.055,3.2883438007266637e+21
99,49.522,33.155,3.2877354586763333e+21
100,49.588,33.068,3.2895180829721997e+21
101,49.541,33.085,3.2887824656563244e+21
102,49.678,33.179,3.2892219917228756e+21
103,49.921,33.17,3.29208834820801e+21
104,50.224,33.231,3.2948047931380707e+21
105,50.622,33.247,3.2991343898562653e+21
106,50.962,33.302,3.302342177335828e+21
107,51.462,33.381,3.30708180082293e+21
108,51.94,33.424,3.311999061490569e+21
109,52.133,33.582,3.312314313032165e+21
110,52.719,33.645,3.318220282675509e+21
111,52.839,33.645,3.319582889558999e+21
112,53.328,33.712,3.324339822583504e+21
113,53.68,33.785,3.327469821508502e+21
114,53.935,33.851,3.329581506484869e+21
115,54.335,33.905,3.333482094030039e+21
116,54.488,34.017,3.3338893309457004e+21
117,54.709,34.003,3.336564903129868e+21
118,54.895,34.16,3.3368125077414714e+21
119,55.213,34.188,3.340090646289909e+21
120,55.427,34.209,3.342271060388941e+21
121,55.736,34.145,3.3465394735382895e+21
122,55.879,34.28,3.346559989553114e+21
123,56.002,34.261,3.3481821417750795e+21
124,56.143,34.481,3.3471707951336826e+21
125,56.435,34.361,3.3519109070644414e+21
126,56.605,34.463,3.352629873940098e+21
127,56.618,34.476,3.3526231124519976e+21
128,56.906,34.521,3.355358618131348e+21
129,57.152,34.55,3.3578072350426593e+21
130,57.366,34.551,3.3602250003508274e+21
131,57.609,34.59,3.3625207865458573e+21
132,57.605,34.639,3.361893547806857e+21
133,57.751,34.594,3.3640854693878044e+21
134,57.966,34.714,3.365101539817947e+21
135,57.859,34.655,3.364587300219933e+21
136,58.274,34.734,3.36836083451622e+21
137,58.472,34.757,3.370335648752208e+21
138,58.577,34.69,3.3723233203336527e+21
139,58.566,34.668,3.372459685362292e+21
140,58.871,34.886,3.373333773721126e+21
141,58.972,34.738,3.3762378203031085e+21
142,59.14,34.919,3.375995861013892e+21
143,59.329,34.851,3.378948991046169e+21
144,59.42,34.918,3.3791865213206046e+21
145,59.699,34.833,3.383363330222388e+21
146,59.836,35.018,3.3827218604201146e+21
147,59.893,35.073,3.3827159121344327e+21
148,60.132,35.054,3.385654771867739e+21
149,60.125,34.912,3.387261504239592e+21
150,60.275,35.041,3.3874325549573645e+21
151,60.156,35.061,3.385844115967109e+21
152,60.61,35.11,3.390416329713921e+21
153,60.669,35.103,3.3911692460814395e+21
154,60.913,35.116,3.393784881081048e+21
155,60.802,35.144,3.3921922762048904e+21
156,61.148,35.208,3.3953602453622117e+21
157,61.007,35.302,3.392643468882147e+21
158,61.286,35.25,3.3964281478317474e+21
159,61.257,35.389,3.394448557890016e+21
160,61.329,35.257,3.396833175702571e+21
161,61.333,35.315,3.3961899113425593e+21
162,61.617,35.402,3.398380923586062e+21
163,61.925,35.46,3.4011886811859245e+21
164,61.782,35.361,3.400740810759212e+21
165,61.758,35.466,3.399221684218873e+21
166,62.065,35.25,3.4052715346451707e+21
167,62.343,35.359,3.407133052385407e+21
168,62.22,35.396,3.4052974027551036e+21
169,62.4,35.399,3.4073051350856845e+21
170,62.681,35.389,3.410613787897692e+21
171,62.77,35.507,3.4102229201623486e+21
172,62.726,35.525,3.4095097140266994e+21
173,62.823,35.512,3.4107651946291895e+21
174,62.954,35.796,3.408880413982493e+21
175,63.088,35.522,3.4136546707733055e+21
176,62.99,35.482,3.4130171732249275e+21
177,63.17,35.712,3.41232954839691e+21
178,63.27,35.543,3.4154713250361455e+21
179,63.504,35.582,3.4176645164092254e+21
180,63.573,35.674,3.417355363675879e+21
181,63.626,35.728,3.4173158267503363e+21
182,63.721,35.679,3.418976015224226e+21
183,63.722,35.651,3.419319838062176e+21
184,63.859,35.677,3.420566268110586e+21
185,64.246,35.863,3.422750763373807e+21
186,64.212,35.62,3.425250217713121e+21
187,64.139,35.656,3.4239940528439453e+21
188,64.499,35.753,3.4269287337657605e+21
189,64.596,35.895,3.4263437249070414e+21
190,64.593,35.646,3.4292664007639685e+21
191,64.568,35.902,3.425942782352058e+21
192,64.807,35.837,3.4294274901875784e+21
193,64.649,35.975,3.4259955065141414e+21
194,64.735,35.797,3.429085170570146e+21
195,64.757,35.967,3.427316392684867e+21
196,65.094,35.87,3.43229343095354e+21
197,64.945,35.993,3.429141682589847e+21
198,65.222,35.965,3.432618347712723e+21
199,65.221,35.779,3.434815647990285e+21
200,65.254,35.715,3.435950292325774e+21
201,65.375,35.849,3.4357324769612745e+21
202,65.472,35.97,3.4353967251506437e+21
203,65.69,35.91,3.438583714046882e+21
204,65.82,35.896,3.440225607552369e+21
205,65.88,36.067,3.4388761353710983e+21
206,65.807,35.948,3.439460544513121e+21
207,65.885,36.005,3.439669074304359e+21
208,65.734,36.015,3.43783634596107e+21
209,66.121,36.147,3.4406617902742566e+21
210,66.267,36.145,3.4423427357018376e+21
211,66.26,36.119,3.442571995115938e+21
212,66.369,36.046,3.444676048676339e+21
213,66.369,35.89,3.4465286231116706e+21
214,66.513,36.095,3.4457287114044426e+21
215,66.498,36.093,3.4455821987811285e+21
216,66.58,36.042,3.447118577982898e+21
217,66.545,36.027,3.446899424606237e+21
218,66.751,36.187,3.447337750574361e+21
219,66.73,36.143,3.447621848109346e+21
220,67.017,36.218,3.449988911083425e+21
221,66.876,36.069,3.4501577937149635e+21
222,67.321,36.324,3.452180830874454e+21
223,67.0,36.202,3.4499859373735894e+21
224,67.092,36.267,3.450258379766409e+21
225,67.406,36.132,3.455425539539739e+21
226,67.206,36.143,3.453024772348737e+21
227,67.382,36.215,3.4541674866303393e+21
228,67.469,36.4,3.4529583095575164e+21
229,67.831,36.211,3.4593113887924075e+21
230,67.464,36.256,3.4546113718860083e+21
231,67.816,36.3,3.4580842511235175e+21
232,67.986,36.378,3.4590876106636515e+21
233,68.048,36.334,3.4603138025059946e+21
234,67.772,36.288,3.457727328010289e+21
235,67.84,36.302,3.458332911730375e+21
236,68.318,36.203,3.464934124701209e+21
237,67.834,36.296,3.458336057102053e+21
238,68.205,36.544,3.4596022989257315e+21
239,68.099,36.531,3.4585535445298294e+21
240,68.483,36.455,3.463814357217055e+21
241,68.56,36.339,3.4660658053646983e+21
242,68.673,36.406,3.466552746992702e+21
243,68.529,36.531,3.4634340505194584e+21
244,68.45,36.372,3.464425388564642e+21
245,68.582,36.461,3.464866775672902e+21
246,68.594,36.266,3.4673186583319387e+21
247,68.738,36.662,3.464250818400944e+21
248,69.094,36.463,3.4706542940243556e+21
249,68.756,36.606,3.46511999246031e+21
250,68.903,36.392,3.4693295559551547e+21
251,68.935,36.56,3.467697809499199e+21
252,69.182,36.518,3.4709999801988174e+21
253,68.95,36.451,3.4691623745908334e+21
254,68.974,36.643,3.467154955786721e+21
255,69.424,36.526,3.473651688160108e+21
256,69.205,36.737,3.4686607007655133e+21
257,69.358,36.46,3.4736863553191564e+21
258,69.258,36.474,3.472385086487858e+21
259,69.375,36.512,3.473261787719239e+21
260,69.652,36.349,3.478341607634189e+21
261,69.63,36.649,3.4745291938136043e+21
262,69.529,36.456,3.475674732265974e+21
263,69.708,36.731,3.474440820865823e+21
264,69.85,36.53,3.478439294665377e+21
265,69.829,36.64,3.476894677286995e+21
266,70.008,36.59,3.4795200541716754e+21
267,69.852,36.574,3.4779394713792104e+21
268,69.942,36.573,3.4789728414615517e+21
269,70.085,36.555,3.4808096476867603e+21
270,70.233,36.655,3.481301879249119e+21
271,70.204,36.642,3.481127111984831e+21
272,70.296,36.728,3.4811500510398157e+21
273,70.119,36.662,3.479924877557804e+21
274,70.205,36.767,3.4796541387105035e+21
275,70.246,36.715,3.4807369354876667e+21
276,70.163,36.727,3.479652418355707e+21
277,70.415,36.663,3.4832725398481907e+21
278,70.404,36.675,3.4830051887502595e+21
279,70.362,36.652,3.482801629743133e+21
280,70.603,36.685,3.485145037260071e+21
281,70.545,36.728,3.483976120467463e+21
282,70.739,36.762,3.4857742047345173e+21
283,71.147,36.752,3.490523605610264e+21
284,70.902,36.694,3.4884317291416566e+21
285,70.729,36.792,3.4853044662092206e+21
286,70.771,36.822,3.4854249126645654e+21
287,70.906,36.899,3.486042783920114e+21
288,71.024,36.745,3.4892107292341164e+21
289,70.896,36.872,3.486249886153118e+21
290,71.154,36.86,3.489320533963107e+21
291,71.205,36.973,3.488557577931369e+21
292,71.219,36.882,3.489797006456836e+21
293,71.225,36.87,3.490007597979248e+21
294,71.194,36.808,3.4903920099438373e+21
295,71.187,36.82,3.49017006134459e+21
296,71.376,36.981,3.490403310467092e+21
297,71.281,36.735,3.492246349248845e+21
298,71.413,36.823,3.4926994262728413e+21
299,71.583,36.808,3.4948069808476274e+21
300,71.688,36.798,3.4961174437061607e+21
301,71.313,37.01,3.4893439758672635e+21
302,71.438,36.893,3.492151904767412e+21
303,71.78,36.934,3.495546516345351e+21
304,71.589,36.987,3.492749454812021e+21
305,71.689,37.008,3.493635021153868e+21
306,71.646,36.85,3.4950232189224354e+21
307,71.746,36.907,3.4954812649780926e+21
308,71.91,37.09,3.4951695259652325e+21
309,71.83,36.873,3.496838378346389e+21
310,72.289,36.954,3.501085808214733e+21
311,72.178,36.977,3.499552904992403e+21
312,72.096,37.152,3.4965442884727766e+21
313,72.111,36.924,3.4994218983312536e+21
314,72.087,37.146,3.4965133876209134e+21
315,71.895,37.031,3.495699847685932e+21
316,72.095,36.937,3.4990859271265447e+21
317,72.31,37.081,3.4998160181371407e+21
318,72.203,37.002,3.499539758686877e+21
319,72.251,37.155,3.498267755606595e+21
320,72.485,36.936,3.5035240377670283e+21
321,72.256,37.076,3.499262539603734e+21
322,72.698,37.093,3.504076959278786e+21
323,72.623,37.03,3.5039739108110295e+21
324,72.828,36.996,3.506704270370368e+21
325,72.621,37.075,3.503416829578364e+21
326,72.836,37.05,3.5061537686481797e+21
327,72.743,37.088,3.504647041666648e+21
328,72.49,37.096,3.501680732608791e+21
329,72.709,37.116,3.503928678520861e+21
330,72.77,37.141,3.5043241019396755e+21
331,72.877,37.07,3.506381572122099e+21
332,72.885,37.228,3.504596170858005e+21
333,73.065,37.209,3.506864569788505e+21
334,72.736,37.185,3.5034157699128277e+21
335,73.176,37.156,3.508753657223058e+21
336,73.238,37.265,3.50816295810047e+21
337,73.047,37.246,3.506220947775056e+21
338,72.907,37.089,3.5064964125112087e+21
339,72.999,37.163,3.5066617706382125e+21
340,73.014,37.227,3.506072043171395e+21
341,73.119,37.248,3.507014312773166e+21
342,73.306,37.195,3.5097658915946695e+21
343,73.145,37.109,3.508959976905344e+21
344,73.427,37.353,3.5092629668203033e+21
345,73.419,37.246,3.5104426987730213e+21
346,73.261,37.331,3.507640310555684e+21
347,73.317,37.28,3.508881398291548e+21
348,73.664,37.14,3.5144819586084766e+21
349,73.465,37.392,3.5092311528236636e+21
350,73.614,37.136,3.513962013935151e+21
351,73.569,37.323,3.511230686344939e+21
352,73.55,37.199,3.512487517088982e+21
353,73.744,37.346,3.512943595087785e+21
354,73.493,37.188,3.5119712588411316e+21
355,73.602,37.329,3.511533947785709e+21
356,73.678,37.241,3.513441411335539e+21
357,73.546,37.315,3.5110646594703013e+21
358,73.862,37.466,3.5128578887456396e+21
359,73.806,37.254,3.51473968017494e+21
360,73.791,37.122,3.516137052885858e+21
361,73.655,37.148,3.5142848097949e+21
362,73.725,37.296,3.5133216876562146e+21
363,74.032,37.377,3.5158438909578e+21
364,73.614,37.261,3.5124775910411935e+21
365,73.989,37.384,3.5152727832155694e+21
366,73.952,37.347,3.5152922342455886e+21
367,74.051,37.214,3.5179951617466156e+21
368,74.063,37.345,3.516575680522228e+21
369,74.218,37.271,3.5192134893776074e+21
370,74.197,37.351,3.518025147116831e+21
371,74.294,37.303,3.5196959739440414e+21
372,74.351,37.375,3.5194878346202023e+21
373,74.369,37.315,3.5204046196318625e+21
374,74.08,37.44,3.515640557614091e+21
375,74.265,37.47,3.5173838068228025e+21
376,74.288,37.459,3.517775432428798e+21
377,74.453,37.458,3.5196597977868686e+21
378,74.368,37.477,3.5184695762328685e+21
379,74.369,37.419,3.519169624342477e+21
380,74.357,37.411,3.5191284379288674e+21
381,74.382,37.393,3.519625893936869e+21
382,74.508,37.555,3.519132205383299e+21
383,74.493,37.451,3.5201968550530284e+21
384,74.603,37.456,3.521385811635253e+21
385,74.576,37.448,3.5211743993948317e+21
386,74.558,37.473,3.5206732691296947e+21
387,74.589,37.522,3.520443243576219e+21
388,74.67,37.448,3.52224115370401e+21
389,74.551,37.496,3.520320726635298e+21
390,74.672,37.468,3.5220263597015145e+21
391,74.668,37.469,3.52196909160489e+21
392,74.763,37.475,3.522975943638233e+21
393,74.717,37.498,3.5221808073953e+21
394,74.778,37.453,3.523407412309949e+21
395,74.845,37.505,3.523550277381332e+21
396,74.84,37.552,3.5229354522153535e+21
397,74.724,37.53,3.5218802758609477e+21
398,74.926,37.552,3.5239114037705457e+21
399,74.944,37.486,3.524899382265543e+21
400,74.932,37.569,3.523777636327385e+21
401,74.943,37.501,3.52470991421569e+21
402,74.903,37.557,3.523591023681001e+21
403,75.021,37.551,3.52500136397899e+21
404,74.994,37.53,3.52494431987173e+21
405,75.023,37.56,3.5249171931710966e+21
406,75.089,37.601,3.5251793439721123e+21
407,75.186,37.519,3.5272538177683545e+21
408,75.09,37.61,3.525083828344087e+21
409,75.091,37.597,3.5252495356549026e+21
410,75.233,37.625,3.526528509304028e+21
411,75.328,37.599,3.5279153100441696e+21
412,75.199,37.598,3.526463266986585e+21
413,75.285,37.614,3.5272492265254295e+21
414,75.197,37.565,3.5268324185995624e+21
415,75.39,37.621,3.5283576652618e+21
416,75.283,37.607,3.527309648422208e+21
417,75.428,37.566,3.529441990050721e+21
418,75.397,37.688,3.527641559067904e+21
419,75.361,37.653,3.5276486040037433e+21
420,75.489,37.655,3.529077413306206e+21
421,75.427,37.641,3.528540065688468e+21
422,75.467,37.665,3.5287090166833925e+21
423,75.505,37.707,3.5286415507802014e+21
424,75.423,37.728,3.527461676903715e+21
425,75.457,37.655,3.528714274118255e+21
426,75.465,37.707,3.5281876303110833e+21
427,75.498,37.688,3.5287877114954226e+21
428,75.559,37.695,3.529396826412918e+21
429,75.598,37.716,3.5295900539853194e+21
430,75.577,37.774,3.528663102302322e+21
431,75.641,37.819,3.528855093829879e+21
432,75.595,37.74,3.5292710490990853e+21
433,75.562,37.725,3.529074665592624e+21
434,75.707,37.725,3.5307201228834787e+21
435,75.753,37.743,3.531028405641061e+21
436,75.616,37.691,3.5300911592798584e+21
437,75.816,37.774,3.5313752500592186e+21
438,75.784,37.763,3.531142723383595e+21
439,75.767,37.795,3.5305698681561274e+21
440,75.837,37.733,3.5321003702996556e+21
441,75.851,37.749,3.532069263105466e+21
442,75.836,37.779,3.531542841597183e+21
443,75.851,37.756,3.5319861482205175e+21
444,75.888,37.79,3.5320023256554946e+21
445,75.922,37.783,3.5324712666026213e+21
446,75.905,37.781,3.5323020992802566e+21
447,75.965,37.723,3.533671650135583e+21
448,75.893,37.736,3.5327002350718414e+21
449,76.062,37.74,3.534570544541053e+21
450,76.004,37.798,3.533223691611111e+21
451,76.028,37.753,3.5340303531468244e+21
452,76.029,37.768,3.533863594462608e+21
453,76.046,37.809,3.533569694603505e+21
454,76.055,37.811,3.5336480785245264e+21
455,76.095,37.854,3.533591446220372e+21
456,76.169,37.829,3.534728010491736e+21
457,76.147,37.773,3.535143278326134e+21
458,76.066,37.795,3.5339628792276006e+21
459,76.151,37.902,3.533657027010893e+21
460,76.167,37.821,3.534800301714813e+21
461,76.147,37.8,3.534822688144897e+21
462,76.185,37.866,3.5344702685763606e+21
463,76.201,37.847,3.534877421233918e+21
464,76.266,37.899,3.5349976287866126e+21
465,76.234,37.864,3.5350500541247175e+21
466,76.281,37.868,3.5355359056934333e+21
467,76.317,37.904,3.5355169966935035e+21
468,76.246,37.883,3.5349606401475105e+21
469,76.381,37.847,3.5369200208018916e+21
470,76.194,37.894,3.534239958654283e+21
471,76.253,37.921,3.5345889107816423e+21
472,76.358,37.91,3.535911014463915e+21
473,76.421,37.888,3.536887124363143e+21
474,76.363,37.91,3.5359677528097077e+21
475,76.362,37.835,3.536846895325307e+21
476,76.275,37.903,3.535052266906251e+21
477,76.475,37.928,3.5370249791521785e+21
478,76.458,37.923,3.536891433432164e+21
479,76.488,37.916,3.537314973424457e+21
480,76.548,37.924,3.5379008486848667e+21
481,76.543,38.017,3.5367399664525357e+21
482,76.561,37.939,3.5378702739642956e+21
483,76.451,37.996,3.535945309414323e+21
484,76.536,37.999,3.536874232285542e+21
485,76.676,37.976,3.538735954049121e+21
486,76.641,37.938,3.538789956592558e+21
487,76.572,37.952,3.537840751156398e+21
488,76.633,38.034,3.537559414558556e+21
489,76.653,37.942,3.5388786360168145e+21
490,76.716,37.976,3.539189856368063e+21
491,76.676,37.99,3.5385697374573224e+21
492,76.756,37.984,3.5395487764570906e+21
493,76.729,37.972,3.5393848657975386e+21
494,76.794,38.027,3.5394694619988125e+21
495,76.655,37.995,3.5382720768234325e+21
496,76.7,37.979,3.5389726773113085e+21
497,76.791,38.049,3.5391742300538767e+21
498,76.719,37.989,3.5390695540569387e+21
499,76.833,38.096,3.53909283957925e+21
500,76.849,37.967,3.5408059387704304e+21
501,76.883,38.026,3.540491259540045e+21
502,76.869,38.027,3.5403205224079913e+21
503,76.794,38.013,3.539635676134625e+21
504,76.813,38.025,3.539708808788333e+21
505,76.885,38.083,3.539837236652704e+21
506,76.905,38.017,3.5408477574529837e+21
507,76.899,38.024,3.540696564249788e+21
508,76.933,38.055,3.5407143317466477e+21
509,76.935,38.082,3.5404164775925514e+21
510,76.927,38.128,3.5397795956093034e+21
511,76.944,38.025,3.541195328077266e+21
512,77.013,38.085,3.541265956706572e+21
513,76.989,38.051,3.5413972772785787e+21
514,77.025,38.072,3.5415564642646937e+21
515,77.003,38.094,3.5410456341733997e+21
516,77.079,38.072,3.5421692236712693e+21
517,77.072,38.068,3.5421372814987195e+21
518,77.057,38.108,3.5414921827124836e+21
519,77.039,38.125,3.5410861087863996e+21
520,77.043,38.153,3.5407990916806633e+21
521,77.121,38.155,3.5416604347121213e+21
522,77.135,38.115,3.5422941703013747e+21
523,77.043,38.096,3.5414757843519133e+21
524,77.111,38.14,3.541725037391962e+21
525,77.169,38.179,3.541920185031485e+21
526,77.132,38.091,3.5425450603612733e+21
527,77.203,38.135,3.542828347039613e+21
528,77.187,38.134,3.542658662333766e+21
529,77.121,38.201,3.5411143506718076e+21
530,77.166,38.148,3.5422541634195685e+21
531,77.165,38.152,3.542195329155941e+21
532,77.293,38.196,3.543125422940656e+21
533,77.231,38.194,3.5424456400930226e+21
534,77.185,38.198,3.5418761840168744e+21
535,77.224,38.245,3.541760781288355e+21
536,77.292,38.18,3.543304021007289e+21
537,77.279,38.314,3.541565798389638e+21
538,77.28,38.237,3.542491187399947e+21
539,77.357,38.256,3.5431393647323245e+21
540,77.355,38.234,3.5433778349551035e+21
541,77.377,38.249,3.543449403970471e+21
542,77.411,38.226,3.5441082447471696e+21
543,77.374,38.18,3.5442344926295884e+21
544,77.305,38.179,3.5434634064871277e+21
545,77.337,38.233,3.543185457913481e+21
546,77.368,38.198,3.5439527188130536e+21
547,77.413,38.214,3.544273396525402e+21
548,77.327,38.242,3.542965146415465e+21
549,77.33,38.268,3.5426905426278335e+21
550,77.432,38.214,3.544488992523897e+21
551,77.475,38.239,3.5446801328838583e+21
552,77.456,38.233,3.544535765898301e+21
553,77.487,38.314,3.543925972319328e+21
554,77.593,38.303,3.5452593328095117e+21
555,77.447,38.243,3.544314928425105e+21
556,77.495,38.247,3.544812104288221e+21
557,77.512,38.278,3.5446369979576914e+21
558,77.547,38.309,3.5446661455239814e+21
559,77.582,38.188,3.5464997364834485e+21
560,77.568,38.199,3.546210283812909e+21
561,77.606,38.287,3.545596780331015e+21
562,77.6,38.245,3.5460272930631807e+21
563,77.653,38.352,3.5453584852568323e+21
564,77.695,38.287,3.5466066664747586e+21
565,77.64,38.345,3.5452940690172417e+21
566,77.613,38.317,3.5453200805731033e+21
567,77.642,38.313,3.545696626676035e+21
568,77.674,38.305,3.5461546983993513e+21
569,77.667,38.29,3.546253335905029e+21
570,77.658,38.267,3.5464242520576617e+21
571,77.654,38.276,3.546272021692691e+21
572,77.677,38.332,3.5458682249054996e+21
573,77.61,38.29,3.545606555178414e+21
574,77.66,38.339,3.54559223163279e+21
575,77.715,38.352,3.5460619946905866e+21
576,77.725,38.335,3.546377266468435e+21
577,77.815,38.353,3.547184816529445e+21
578,77.701,38.375,3.5456301163521995e+21
579,77.842,38.34,3.5476455052213444e+21
580,77.665,38.396,3.5449723539317997e+21
581,77.824,38.405,3.5466696705533086e+21
582,77.78,38.398,3.546253501406833e+21
583,77.797,38.329,3.5472654730537216e+21
584,77.759,38.414,3.545825294959574e+21
585,77.837,38.411,3.546745957799232e+21
586,77.861,38.363,3.547588066885895e+21
587,77.826,38.367,3.5471434423541715e+21
588,77.828,38.391,3.5468812429353817e+21
589,77.843,38.468,3.5461374506726363e+21
590,77.933,38.334,3.5487493042511896e+21
591,77.807,38.388,3.5466785700838113e+21
592,77.989,38.396,3.548648734186118e+21
593,77.896,38.453,3.546916875130458e+21
594,77.897,38.4,3.547557341843632e+21
595,77.921,38.475,3.5469394073528136e+21
596,77.932,38.478,3.547028612048375e+21
597,77.872,38.455,3.5466208132194584e+21
598,77.929,38.453,3.547291318118239e+21
599,77.969,38.45,3.5477807985761085e+21
600,78.0,38.452,3.548108807978189e+21
601,77.94,38.471,3.5472024742063747e+21
602,78.026,38.439,3.5485581364700675e+21
603,78.011,38.501,3.547651998445774e+21
604,77.932,38.573,3.5459010333103216e+21
605,77.975,38.575,3.546365197573022e+21
606,78.02,38.467,3.54815769223574e+21
607,77.948,38.566,3.5461656600532694e+21
608,78.072,38.491,3.548462843544643e+21
609,77.991,38.545,3.5469028124678727e+21
610,78.1,38.49,3.5487924208491257e+21
611,78.011,38.521,3.547414607889395e+21
612,78.132,38.483,3.5492386049364433e+21
613,78.129,38.548,3.5484330356227713e+21
614,78.047,38.482,3.5482860047157963e+21
615,78.21,38.529,3.5495776321782525e+21
616,78.145,38.599,3.548009255919044e+21
617,78.064,38.518,3.5480515885849174e+21
618,78.085,38.502,3.548479782788915e+21
619,78.067,38.477,3.5485722885822664e+21
620,78.108,38.516,3.548574580376696e+21
621,78.167,38.583,3.5484487829482635e+21
622,78.126,38.55,3.5483752571523626e+21
623,78.098,38.625,3.54716738470991e+21
624,78.103,38.591,3.5476276530630026e+21
625,78.147,38.592,3.5481150312814336e+21
626,78.203,38.581,3.5488809966506224e+21
627,78.149,38.603,3.548007166558509e+21
628,78.209,38.626,3.548414974135088e+21
629,78.144,38.59,3.548104729597906e+21
630,78.277,38.578,3.5497562486941475e+21
631,78.235,38.775,3.5469416507144374e+21
632,78.227,38.625,3.548631079296129e+21
633,78.226,38.663,3.548168727940838e+21
634,78.272,38.613,3.5492840969632633e+21
635,78.255,38.638,3.5487944870390645e+21
636,78.221,38.632,3.5484799195989053e+21
637,78.25,38.583,3.5493905457530263e+21
638,78.242,38.726,3.5476025820899264e+21
639,78.301,38.668,3.5489603661133707e+21
640,78.271,38.674,3.548548764056449e+21
641,78.332,38.662,3.5493833155407087e+21
642,78.272,38.639,3.548975507972585e+21
643,78.212,38.586,3.548923769866866e+21
644,78.264,38.571,3.549691828750872e+21
645,78.373,38.698,3.549421254666576e+21
646,78.381,38.716,3.549298398291949e+21
647,78.363,38.773,3.548417701744984e+21
648,78.346,38.733,3.5486995221674417e+21
