Time,Gold Probe Temperature,Stainless Steel Probe Temperature
1,49.231,33.003,3.286235849170492e+21
2,49.364,32.972,3.288114379052333e+21
3,49.416,32.995,3.288431754521888e+21
4,49.374,32.913,3.288928651310354e+21
5,49.385,32.976,3.2883053559953013e+21
6,49.325,32.996,3.28738646276916e+21
7,49.354,32.967,3.2880601970589245e+21
8,49.394,32.959,3.2886094579239265e+21
9,49.45,32.986,3.288924750692066e+21
10,49.473,32.996,3.289067182947445e+21
11,49.361,32.955,3.2882822056085873e+21
12,49.439,32.922,3.2895599238618703e+21
13,49.343,32.955,3.28807779237004e+21
14,49.41,33.01,3.2881854789314974e+21
15,49.421,32.965,3.2888448196711715e+21
16,49.362,32.884,3.2891368039715444e+21
17,49.277,32.992,3.286888867266124e+21
18,49.449,32.936,3.289507213455487e+21
19,49.412,32.986,3.2884932137479737e+21
20,49.485,32.986,3.2893222189300455e+21
21,49.472,32.9,3.2901959759618344e+21
22,49.409,33.003,3.2882572536350764e+21
23,49.432,33.014,3.288387811852986e+21
24,49.409,32.961,3.2887560495448877e+21
25,49.379,32.981,3.288177838100068e+21
26,49.467,33.0,3.288951541509423e+21
27,49.498,32.989,3.289434221400278e+21
28,49.474,32.971,3.2893754440251526e+21
29,49.446,32.984,3.288903078008148e+21
30,49.402,32.957,3.2887240608472855e+21
31,49.453,33.004,3.2887450506968527e+21
32,49.446,32.991,3.28881994528585e+21
33,49.422,32.92,3.2893906193892717e+21
34,49.47,33.016,3.288795595157951e+21
35,49.416,33.015,3.2881942371181695e+21
36,49.491,33.021,3.288974695637077e+21
37,49.404,32.989,3.2883667357816314e+21
38,49.459,33.071,3.288017521725957e+21
39,49.479,32.967,3.2894797307441955e+21
40,49.421,32.991,3.2885360396259615e+21
41,49.407,32.983,3.2884720607627963e+21
42,49.393,33.046,3.287564902294981e+21
43,49.414,32.994,3.288420918057534e+21
44,49.382,32.99,3.288105022754122e+21
45,49.358,32.959,3.288200631705424e+21
46,49.503,33.052,3.288742822886552e+21
47,49.434,32.96,3.2890518329094313e+21
48,49.386,32.957,3.288542360248264e+21
49,49.428,33.005,3.288449269723452e+21
50,49.44,33.037,3.2882055201546825e+21
51,49.419,32.903,3.289558456493216e+21
52,49.369,32.97,3.2881949126226577e+21
53,49.457,32.936,3.2895980640567296e+21
54,49.412,32.986,3.2884932137479737e+21
55,49.504,32.977,3.289644873820801e+21
56,49.578,32.945,3.290865288005396e+21
57,49.448,33.019,3.288510131765336e+21
58,49.503,32.919,3.290322360957241e+21
59,49.515,33.052,3.2888790962898715e+21
60,49.513,33.035,3.2890582701096415e+21
61,49.438,33.041,3.2881353056201123e+21
62,49.478,33.007,3.2889933278444095e+21
63,49.584,32.947,3.2909096723071595e+21
64,49.394,33.002,3.2880987864185087e+21
65,49.387,33.107,3.286772385238335e+21
