Time,Gold Probe Temperature,Stainless Steel Probe Temperature,Radical Density,Convectron Pressure,Baratron Pressure,Ion Gauge Pressure,Plasma Power,Flow Rate
84,65.556,44.46,2.3883399334302276e+20,0.03918435364552727,0.021209623996433946,nan,200,3
85,65.675,44.645,2.3808077725201655e+20,0.038893396853629976,0.021246728918664304,nan,200,3
86,65.653,44.622,2.380928447967672e+20,0.038971245702561476,0.021179940058649663,nan,200,3
87,65.637,44.691,2.371283262857451e+20,0.038717045506799656,0.02115025612086538,nan,200,3
88,65.832,44.652,2.397786995298189e+20,0.03866078212869315,0.021239307934218233,nan,200,3
89,65.697,44.414,2.4095258990825744e+20,0.038639704447452024,0.021239307934218233,nan,200,3
90,65.847,44.579,2.407773439004129e+20,0.038843937665004345,0.02114283513641931,nan,200,3
91,65.722,44.522,2.4000937547978605e+20,0.03902796090105244,0.02114283513641931,nan,200,3
92,65.8,44.6,2.40006821006204e+20,0.03890046759098247,0.021246728918664304,nan,200,3
93,65.979,44.456,2.4366831854906566e+20,0.039255648278374224,0.021061204307512526,nan,200,3
94,66.042,44.52,2.4365486742835872e+20,0.03906344980638248,0.021254149903110375,nan,200,3
95,65.988,44.566,2.4252122480960307e+20,0.03880864818511273,0.021254149903110375,nan,200,3
96,66.076,44.638,2.426999796890265e+20,0.0389995929920413,0.021209623996433946,nan,200,3
97,66.108,44.487,2.447767692530354e+20,0.03904215259256884,0.021209623996433946,nan,200,3
98,66.24,44.52,2.458964650378194e+20,0.038752251690544005,0.021172519074203592,nan,200,3
99,66.213,44.56,2.4513660629335337e+20,0.039248512981660134,0.02115767710531145,nan,200,3
100,66.355,44.595,2.4634679181969955e+20,0.039170110264405075,0.021202203011987875,nan,200,3
101,66.253,44.562,2.4556674253013392e+20,0.038858062440367866,0.021172519074203592,nan,200,3
102,66.337,44.522,2.4697191160809128e+20,0.03868890359011327,0.02122446596532609,nan,200,3
103,66.262,44.552,2.4578217949036996e+20,0.03897833059267019,0.021194782027541804,nan,200,3
104,66.325,44.572,2.4626831689614682e+20,0.03873816537703314,0.02115767710531145,nan,200,3
105,66.414,44.529,2.47764158631544e+20,0.03867484030342444,0.021217044980880017,nan,200,3
106,66.441,44.72,2.4590108045157378e+20,0.0387029719906185,0.021120572183081096,nan,200,3
107,66.599,44.622,2.488025510008346e+20,0.039056349444593325,0.02115767710531145,nan,200,3
108,66.446,44.702,2.461620644015373e+20,0.03856251788438329,0.021179940058649663,nan,200,3
109,66.431,44.591,2.4725261345184786e+20,0.03855550857440588,0.021187361043095734,nan,200,3
110,66.568,44.539,2.4939406901371083e+20,0.0387029719906185,0.021127993167527167,nan,200,3
111,66.57,44.635,2.4832662709388604e+20,0.038745207893631256,0.021268991872002516,nan,200,3
112,66.657,44.499,2.5085586995836132e+20,0.03902086698989855,0.021239307934218233,nan,200,3
113,66.72,44.264,2.542377683122126e+20,0.039091864164193725,0.021209623996433946,nan,200,3
114,66.65,44.579,2.4986819434013616e+20,0.03897833059267019,0.021179940058649663,nan,200,3
115,66.694,44.683,2.4918539474523757e+20,0.039035056101864384,0.021187361043095734,nan,200,3
116,66.782,44.599,2.511354734200451e+20,0.03876634312624448,0.02114283513641931,nan,200,3
117,66.671,44.541,2.5053743886167048e+20,0.038985416770796956,0.021179940058649663,nan,200,3
118,66.804,44.497,2.5254280257799347e+20,0.038843937665004345,0.021194782027541804,nan,200,3
119,66.846,44.522,2.5273440085899746e+20,0.039369989602996106,0.021246728918664304,nan,200,3
120,66.868,44.528,2.5291533284958765e+20,0.03931277737044872,0.021246728918664304,nan,200,3
121,66.887,44.566,2.5269891975423164e+20,0.038731124140516944,0.021231886949772162,nan,200,3
122,66.99,44.454,2.5513686416661758e+20,0.03916299051549459,0.02130609679423287,nan,200,3
123,66.993,44.487,2.547960764446054e+20,0.03892168751664543,0.021202203011987875,nan,200,3
