Time,Gold Probe Temperature,Stainless Steel Probe Temperature,Convectron Pressure,Baratron Pressure,Ion Gauge Pressure,Plasma Power,Flow Rate
150,23.089,23.226,-1.5561899498470182e+18,0.001542052931002437,0.00018597506071455427,over range,,
151,23.161,23.087,8.405906532786605e+17,0.0015496400800775459,0.00019339604516062535,over range,,
152,23.062,23.097,-3.975759486132292e+17,0.0015533064544069471,0.00018597506071455427,over range,,
153,22.911,23.165,-2.885230350613663e+18,0.0015378539111169792,0.00012660718514598558,over range,,
154,22.958,23.152,-2.203684998221369e+18,0.0015445778442172847,0.00021565899849883863,over range,,
155,22.997,23.107,-1.2495221733730806e+18,0.001543735747455141,0.00019339604516062535,over range,,
156,22.888,23.08,-2.180994698568167e+18,0.0015342240104711075,0.00018597506071455427,over range,,
157,22.997,23.216,-2.4876365556608435e+18,0.0015499218013691669,0.00016371210737634102,over range,,
158,22.844,23.093,-2.8284709168408673e+18,0.0015541537719209902,0.0002230799829449097,over range,,
159,22.846,23.046,-2.271883310496405e+18,0.0015552842476364718,0.00020823801405276754,over range,,
160,22.98,23.207,-2.578513272022418e+18,0.0015272674961917241,0.00023050096739098082,over range,,
161,22.991,23.136,-1.6470888627357673e+18,0.0015333875585716724,0.00021565899849883863,over range,,
162,22.896,23.292,-4.498131053937276e+18,0.00154766946431182,0.00012660718514598558,over range,,
163,22.954,23.128,-1.9765094644624535e+18,0.0015412122108114067,0.00026760588962133626,over range,,
164,23.093,23.278,-2.101404862374331e+18,0.0015521774162725506,0.00020081702960669646,over range,,
165,23.003,23.148,-1.6470853267104678e+18,0.0015370154802123472,0.0002379219518370519,over range,,
166,22.932,23.31,-4.2936567523025285e+18,0.0015547189070290236,0.00014887013848419883,over range,,
167,23.011,23.271,-2.953329444908235e+18,0.0015367361048361544,0.00026760588962133626,over range,,
168,22.971,23.132,-1.828837908182306e+18,0.001638281447874486,0.0001711330918224121,over range,,
169,23.056,23.113,-6.474789763625612e+17,0.0016541416057116352,0.0002379219518370519,over range,,
170,23.015,23.169,-1.7493116383053248e+18,0.001646342056769363,0.0001562911229302699,over range,,
171,22.855,23.265,-4.657178346646438e+18,0.0016388771742303727,0.00026018490517526515,over range,,
172,22.972,23.246,-3.1123687765340984e+18,0.0016451453946689256,0.00026760588962133626,over range,,
173,23.022,23.123,-1.1472852558472146e+18,0.0016589596828700608,0.0002972898274056206,over range,,
174,22.895,23.187,-3.3168659365381514e+18,0.001652638828175638,0.0003047108118516917,over range,,
175,22.995,22.942,6.020602998340481e+17,0.0016559467426516391,0.00023050096739098082,over range,,
176,22.937,23.071,-1.5221550029444795e+18,0.0016496373676559216,0.0003640786874202604,over range,,
