D2,N2
-3.301,-3.301
-2.886,-3
-2.62,-2.699
-2.222,-2.301
-1.9169999999999998,-2
-1.6139999999999999,-1.6989999999999998
-1.222,-1.3010000000000002
-0.9169999999999998,-1
-0.6020000000000003,-0.6989999999999998
